server type, array size, clients count, message delay, requests count, average client work time, average request time, average sort time
TCP_ASYNC, 2500, 25, 1, 30, 62.640000, 0.648000, 0.073333
TCP_ASYNC, 2500, 25, 3, 30, 68.840000, 1.100000, 0.264000
TCP_ASYNC, 2500, 25, 5, 30, 66.600000, 0.968000, 0.268000
TCP_ASYNC, 2500, 25, 7, 30, 71.680000, 0.978667, 0.236000
TCP_ASYNC, 2500, 25, 9, 30, 137.280000, 0.889333, 0.328000
TCP_ASYNC, 2500, 25, 11, 30, 69.560000, 0.854667, 0.276000
TCP_ASYNC, 2500, 25, 13, 30, 86.600000, 0.649333, 0.218667
TCP_ASYNC, 2500, 25, 15, 30, 81.040000, 1.021333, 0.297333
TCP_ASYNC, 2500, 25, 17, 30, 88.720000, 1.102667, 0.292000
TCP_ASYNC, 2500, 25, 19, 30, 96.400000, 1.557333, 0.389333
