server type, array size, clients count, message delay, requests count, average client work time, average request time, average sort time
TCP_ASYNC, 1000, 25, 10, 30, 25.840000, 0.178667, 0.018667
TCP_ASYNC, 1125, 25, 10, 30, 28.360000, 0.262667, 0.056000
TCP_ASYNC, 1250, 25, 10, 30, 27.400000, 0.224000, 0.014667
TCP_ASYNC, 1375, 25, 10, 30, 32.040000, 0.426667, 0.085333
TCP_ASYNC, 1500, 25, 10, 30, 34.840000, 0.453333, 0.113333
TCP_ASYNC, 1625, 25, 10, 30, 43.720000, 0.410667, 0.128000
TCP_ASYNC, 1750, 25, 10, 30, 33.560000, 0.448000, 0.146667
TCP_ASYNC, 1875, 25, 10, 30, 39.480000, 0.548000, 0.181333
TCP_ASYNC, 2000, 25, 10, 30, 38.480000, 0.478667, 0.178667
TCP_ASYNC, 2125, 25, 10, 30, 86.920000, 0.686667, 0.201333
TCP_ASYNC, 2250, 25, 10, 30, 45.000000, 0.786667, 0.230667
TCP_ASYNC, 2375, 25, 10, 30, 46.000000, 0.644000, 0.252000
TCP_ASYNC, 2500, 25, 10, 30, 45.040000, 0.796000, 0.273333
TCP_ASYNC, 2625, 25, 10, 30, 49.280000, 0.937333, 0.332000
TCP_ASYNC, 2750, 25, 10, 30, 56.120000, 0.978667, 0.332000
TCP_ASYNC, 2875, 25, 10, 30, 62.160000, 1.362667, 0.366667
TCP_ASYNC, 3000, 25, 10, 30, 60.000000, 1.190667, 0.401333
TCP_ASYNC, 3125, 25, 10, 30, 67.600000, 1.533333, 0.441333
TCP_ASYNC, 3250, 25, 10, 30, 65.520000, 1.386667, 0.465333
TCP_ASYNC, 3375, 25, 10, 30, 72.000000, 1.557333, 0.517333
TCP_ASYNC, 3500, 25, 10, 30, 90.880000, 2.221333, 0.658667
TCP_ASYNC, 3625, 25, 10, 30, 79.040000, 1.861333, 0.593333
TCP_ASYNC, 3750, 25, 10, 30, 82.520000, 1.904000, 0.617333
TCP_ASYNC, 3875, 25, 10, 30, 88.160000, 2.092000, 0.656000
TCP_ASYNC, 4000, 25, 10, 30, 112.120000, 2.816000, 0.926667
TCP_ASYNC, 4125, 25, 10, 30, 97.360000, 2.440000, 0.896000
TCP_ASYNC, 4250, 25, 10, 30, 96.360000, 2.412000, 0.840000
TCP_ASYNC, 4375, 25, 10, 30, 97.520000, 2.466667, 0.889333
TCP_ASYNC, 4500, 25, 10, 30, 99.320000, 2.508000, 0.888000
TCP_ASYNC, 4625, 25, 10, 30, 99.200000, 2.494667, 0.937333
TCP_ASYNC, 4750, 25, 10, 30, 104.560000, 2.678667, 0.986667
TCP_ASYNC, 4875, 25, 10, 30, 105.520000, 2.704000, 1.045333
TCP_ASYNC, 5000, 25, 10, 30, 112.240000, 2.869333, 1.096000
