server type, array size, clients count, message delay, requests count, average client work time, average request time, average sort time
TCP_CACHED_POOL, 2500, 1, 10, 30, 775.000000, 7.633333, 6.533333
TCP_CACHED_POOL, 2500, 6, 10, 30, 825.333333, 5.100000, 4.011111
TCP_CACHED_POOL, 2500, 11, 10, 30, 1238.636364, 7.039394, 5.436364
TCP_CACHED_POOL, 2500, 16, 10, 30, 1600.437500, 9.918750, 8.091667
TCP_CACHED_POOL, 2500, 21, 10, 30, 1799.857143, 10.257143, 7.946032
TCP_CACHED_POOL, 2500, 26, 10, 30, 2206.846154, 10.967949, 7.906410
TCP_CACHED_POOL, 2500, 31, 10, 30, 2513.645161, 10.376344, 7.292473
TCP_CACHED_POOL, 2500, 36, 10, 30, 2979.472222, 12.052778, 8.036111
TCP_CACHED_POOL, 2500, 41, 10, 30, 4527.121951, 11.005691, 7.130081
TCP_CACHED_POOL, 2500, 46, 10, 30, 4232.478261, 13.052174, 7.831159
