server type, array size, clients count, message delay, requests count, average client work time, average request time, average sort time
TCP_CACHED_POOL, 2500, 25, 1, 30, 2060.560000, 9.934667, 6.494667
TCP_CACHED_POOL, 2500, 25, 3, 30, 2089.520000, 11.681333, 8.762667
TCP_CACHED_POOL, 2500, 25, 5, 30, 2312.560000, 15.321333, 8.450667
TCP_CACHED_POOL, 2500, 25, 7, 30, 2043.080000, 12.021333, 8.392000
TCP_CACHED_POOL, 2500, 25, 9, 30, 2417.000000, 12.264000, 8.688000
TCP_CACHED_POOL, 2500, 25, 11, 30, 2094.720000, 12.048000, 8.362667
TCP_CACHED_POOL, 2500, 25, 13, 30, 2137.400000, 12.185333, 8.860000
TCP_CACHED_POOL, 2500, 25, 15, 30, 2441.680000, 13.922667, 8.668000
TCP_CACHED_POOL, 2500, 25, 17, 30, 2279.280000, 10.961333, 8.021333
TCP_CACHED_POOL, 2500, 25, 19, 30, 2485.840000, 12.976000, 8.798667
