server type, array size, clients count, message delay, requests count, average client work time, average request time, average sort time
TCP_FIXED_POOL, 2500, 1, 10, 30, 3.000000, 0.000000, 0.000000
TCP_FIXED_POOL, 2500, 6, 10, 30, 854.000000, 4.150000, 1.811111
TCP_FIXED_POOL, 2500, 11, 10, 30, 1491.636364, 4.639394, 1.766667
TCP_FIXED_POOL, 2500, 16, 10, 30, 1586.500000, 5.410417, 1.781250
TCP_FIXED_POOL, 2500, 21, 10, 30, 1891.000000, 5.684127, 1.790476
TCP_FIXED_POOL, 2500, 26, 10, 30, 2388.346154, 6.938462, 1.793590
TCP_FIXED_POOL, 2500, 31, 10, 30, 3185.032258, 7.839785, 1.863441
TCP_FIXED_POOL, 2500, 36, 10, 30, 2970.972222, 7.372222, 1.835185
TCP_FIXED_POOL, 2500, 41, 10, 30, 4211.512195, 9.426016, 1.915447
TCP_FIXED_POOL, 2500, 46, 10, 30, 5180.456522, 14.686957, 2.031884
