server type, array size, clients count, message delay, requests count, average client work time, average request time, average sort time
TCP_FIXED_POOL, 2500, 25, 1, 30, 2245.720000, 5.920000, 1.854667
TCP_FIXED_POOL, 2500, 25, 3, 30, 1991.440000, 6.600000, 1.916000
TCP_FIXED_POOL, 2500, 25, 5, 30, 2283.680000, 7.900000, 1.940000
TCP_FIXED_POOL, 2500, 25, 7, 30, 2256.600000, 6.048000, 1.953333
TCP_FIXED_POOL, 2500, 25, 9, 30, 2146.400000, 7.285333, 1.924000
TCP_FIXED_POOL, 2500, 25, 11, 30, 2572.800000, 7.018667, 1.900000
TCP_FIXED_POOL, 2500, 25, 13, 30, 2246.760000, 6.034667, 1.913333
TCP_FIXED_POOL, 2500, 25, 15, 30, 2302.320000, 6.817333, 1.897333
TCP_FIXED_POOL, 2500, 25, 17, 30, 2595.880000, 7.184000, 1.973333
TCP_FIXED_POOL, 2500, 25, 19, 30, 2320.680000, 6.260000, 1.957333
