server type, array size, clients count, message delay, requests count, average client work time, average request time, average sort time
TCP_CONNECTION_QUERY, 2500, 1, 10, 30, 28.000000, 0.433333, 0.266667
TCP_CONNECTION_QUERY, 2500, 6, 10, 30, 58.166667, 0.288889, 0.216667
TCP_CONNECTION_QUERY, 2500, 11, 10, 30, 71.545455, 0.206061, 0.157576
TCP_CONNECTION_QUERY, 2500, 16, 10, 30, 88.625000, 0.150000, 0.083333
TCP_CONNECTION_QUERY, 2500, 21, 10, 30, 106.333333, 0.168254, 0.101587
TCP_CONNECTION_QUERY, 2500, 26, 10, 30, 133.807692, 0.173077, 0.101282
TCP_CONNECTION_QUERY, 2500, 31, 10, 30, 105.258065, 0.118280, 0.056989
TCP_CONNECTION_QUERY, 2500, 36, 10, 30, 104.166667, 0.107407, 0.090741
TCP_CONNECTION_QUERY, 2500, 41, 10, 30, 170.780488, 0.137398, 0.082927
TCP_CONNECTION_QUERY, 2500, 46, 10, 30, 137.021739, 0.112319, 0.081884
