server type, array size, clients count, message delay, requests count, average client work time, average request time, average sort time
TCP_CONNECTION_QUERY, 2500, 25, 1, 30, 70.840000, 0.096000, 0.064000
TCP_CONNECTION_QUERY, 2500, 25, 3, 30, 114.720000, 0.156000, 0.102667
TCP_CONNECTION_QUERY, 2500, 25, 5, 30, 99.040000, 0.141333, 0.098667
TCP_CONNECTION_QUERY, 2500, 25, 7, 30, 108.480000, 0.148000, 0.102667
TCP_CONNECTION_QUERY, 2500, 25, 9, 30, 115.400000, 0.150667, 0.105333
TCP_CONNECTION_QUERY, 2500, 25, 11, 30, 111.800000, 0.149333, 0.102667
TCP_CONNECTION_QUERY, 2500, 25, 13, 30, 109.120000, 0.142667, 0.101333
TCP_CONNECTION_QUERY, 2500, 25, 15, 30, 107.600000, 0.138667, 0.101333
TCP_CONNECTION_QUERY, 2500, 25, 17, 30, 111.320000, 0.141333, 0.100000
TCP_CONNECTION_QUERY, 2500, 25, 19, 30, 101.000000, 0.121333, 0.094667
