server type, array size, clients count, message delay, requests count, average client work time, average request time, average sort time
TCP_CONNECTION_QUERY, 1000, 25, 10, 30, 30.760000, 0.024000, 0.016000
TCP_CONNECTION_QUERY, 1125, 25, 10, 30, 44.200000, 0.057333, 0.048000
TCP_CONNECTION_QUERY, 1250, 25, 10, 30, 44.360000, 0.060000, 0.053333
TCP_CONNECTION_QUERY, 1375, 25, 10, 30, 50.960000, 0.070667, 0.056000
TCP_CONNECTION_QUERY, 1500, 25, 10, 30, 32.920000, 0.036000, 0.024000
TCP_CONNECTION_QUERY, 1625, 25, 10, 30, 57.080000, 0.082667, 0.070667
TCP_CONNECTION_QUERY, 1750, 25, 10, 30, 59.840000, 0.084000, 0.072000
TCP_CONNECTION_QUERY, 1875, 25, 10, 30, 61.360000, 0.086667, 0.077333
TCP_CONNECTION_QUERY, 2000, 25, 10, 30, 139.280000, 0.094667, 0.082667
TCP_CONNECTION_QUERY, 2125, 25, 10, 30, 68.640000, 0.097333, 0.084000
TCP_CONNECTION_QUERY, 2250, 25, 10, 30, 72.480000, 0.105333, 0.097333
TCP_CONNECTION_QUERY, 2375, 25, 10, 30, 73.720000, 0.109333, 0.097333
TCP_CONNECTION_QUERY, 2500, 25, 10, 30, 82.280000, 0.122667, 0.104000
TCP_CONNECTION_QUERY, 2625, 25, 10, 30, 82.400000, 0.124000, 0.109333
TCP_CONNECTION_QUERY, 2750, 25, 10, 30, 90.320000, 0.138667, 0.112000
TCP_CONNECTION_QUERY, 2875, 25, 10, 30, 97.880000, 0.148000, 0.121333
TCP_CONNECTION_QUERY, 3000, 25, 10, 30, 96.080000, 0.150667, 0.132000
TCP_CONNECTION_QUERY, 3125, 25, 10, 30, 95.920000, 0.150667, 0.129333
TCP_CONNECTION_QUERY, 3250, 25, 10, 30, 99.680000, 0.161333, 0.140000
TCP_CONNECTION_QUERY, 3375, 25, 10, 30, 107.640000, 0.173333, 0.152000
TCP_CONNECTION_QUERY, 3500, 25, 10, 30, 111.600000, 0.180000, 0.154667
TCP_CONNECTION_QUERY, 3625, 25, 10, 30, 114.880000, 0.186667, 0.154667
TCP_CONNECTION_QUERY, 3750, 25, 10, 30, 83.960000, 0.149333, 0.125333
TCP_CONNECTION_QUERY, 3875, 25, 10, 30, 119.320000, 0.202667, 0.176000
TCP_CONNECTION_QUERY, 4000, 25, 10, 30, 124.520000, 0.214667, 0.190667
TCP_CONNECTION_QUERY, 4125, 25, 10, 30, 128.240000, 0.221333, 0.190667
TCP_CONNECTION_QUERY, 4250, 25, 10, 30, 112.360000, 0.205333, 0.182667
TCP_CONNECTION_QUERY, 4375, 25, 10, 30, 302.520000, 0.242667, 0.214667
TCP_CONNECTION_QUERY, 4500, 25, 10, 30, 148.760000, 0.261333, 0.228000
TCP_CONNECTION_QUERY, 4625, 25, 10, 30, 151.040000, 0.270667, 0.237333
TCP_CONNECTION_QUERY, 4750, 25, 10, 30, 158.400000, 0.284000, 0.244000
TCP_CONNECTION_QUERY, 4875, 25, 10, 30, 157.080000, 0.288000, 0.252000
TCP_CONNECTION_QUERY, 5000, 25, 10, 30, 162.440000, 0.300000, 0.266667
