server type, array size, clients count, message delay, requests count, average client work time, average request time, average sort time
TCP_THREAD_CLIENT, 2500, 1, 10, 30, 850.000000, 8.200000, 6.800000
TCP_THREAD_CLIENT, 2500, 6, 10, 30, 988.833333, 5.738889, 4.477778
TCP_THREAD_CLIENT, 2500, 11, 10, 30, 1260.818182, 6.742424, 5.081818
TCP_THREAD_CLIENT, 2500, 16, 10, 30, 1622.375000, 8.231250, 5.872917
TCP_THREAD_CLIENT, 2500, 21, 10, 30, 2414.428571, 8.696825, 6.003175
TCP_THREAD_CLIENT, 2500, 26, 10, 30, 3353.730769, 9.628205, 6.620513
TCP_THREAD_CLIENT, 2500, 31, 10, 30, 3726.967742, 12.575269, 7.452688
TCP_THREAD_CLIENT, 2500, 36, 10, 30, 4975.305556, 11.065741, 6.941667
TCP_THREAD_CLIENT, 2500, 41, 10, 30, 4710.829268, 10.774797, 6.847154
TCP_THREAD_CLIENT, 2500, 46, 10, 30, 3884.586957, 11.576087, 6.742754
