server type, array size, clients count, message delay, requests count, average client work time, average request time, average sort time
TCP_THREAD_CLIENT, 2500, 25, 1, 30, 2199.680000, 7.972000, 4.581333
TCP_THREAD_CLIENT, 2500, 25, 3, 30, 2093.640000, 12.212000, 8.710667
TCP_THREAD_CLIENT, 2500, 25, 5, 30, 2150.800000, 11.784000, 8.229333
TCP_THREAD_CLIENT, 2500, 25, 7, 30, 3076.760000, 11.449333, 7.953333
TCP_THREAD_CLIENT, 2500, 25, 9, 30, 2500.680000, 12.096000, 8.372000
TCP_THREAD_CLIENT, 2500, 25, 11, 30, 2720.120000, 12.842667, 8.568000
TCP_THREAD_CLIENT, 2500, 25, 13, 30, 2454.960000, 12.485333, 8.941333
TCP_THREAD_CLIENT, 2500, 25, 15, 30, 2249.680000, 12.300000, 8.984000
TCP_THREAD_CLIENT, 2500, 25, 17, 30, 2550.440000, 12.246667, 8.921333
TCP_THREAD_CLIENT, 2500, 25, 19, 30, 2303.640000, 11.784000, 8.689333
