server type, array size, clients count, message delay, requests count, average client work time, average request time, average sort time
UDP_POOL, 2500, 8, 1, 30, 842.875000, 4.529167, 4.225000
UDP_POOL, 2500, 8, 3, 30, 780.875000, 4.137500, 3.833333
UDP_POOL, 2500, 8, 5, 30, 843.125000, 5.379167, 4.958333
UDP_POOL, 2500, 8, 7, 30, 1407.750000, 4.679167, 4.341667
UDP_POOL, 2500, 8, 9, 30, 1384.000000, 5.075000, 4.791667
UDP_POOL, 2500, 8, 11, 30, 1466.500000, 3.545833, 3.316667
UDP_POOL, 2500, 8, 13, 30, 2199.250000, 5.362500, 5.062500
UDP_POOL, 2500, 8, 15, 30, 1579.125000, 5.083333, 4.745833
UDP_POOL, 2500, 8, 17, 30, 2910.250000, 6.066667, 5.716667
UDP_POOL, 2500, 8, 19, 30, 1747.250000, 5.812500, 5.433333
