server type, array size, clients count, message delay, requests count, average client work time, average request time, average sort time
UDP_THREAD, 2500, 8, 1, 30, 2283.750000, 5.725000, 5.462500
UDP_THREAD, 2500, 8, 3, 30, 746.500000, 4.237500, 3.945833
UDP_THREAD, 2500, 8, 5, 30, 722.250000, 4.325000, 4.083333
UDP_THREAD, 2500, 8, 7, 30, 749.625000, 5.525000, 5.162500
UDP_THREAD, 2500, 8, 9, 30, 828.000000, 4.941667, 4.637500
UDP_THREAD, 2500, 8, 11, 30, 1534.750000, 7.791667, 7.320833
UDP_THREAD, 2500, 8, 13, 30, 933.375000, 4.591667, 4.291667
UDP_THREAD, 2500, 8, 15, 30, 1650.500000, 7.945833, 7.345833
UDP_THREAD, 2500, 8, 17, 30, 1733.875000, 6.391667, 6.008333
UDP_THREAD, 2500, 8, 19, 30, 1133.000000, 5.941667, 5.554167
