server type, array size, clients count, message delay, requests count, average client work time, average request time, average sort time
UDP_THREAD, 1000, 8, 10, 30, 643.500000, 1.487500, 1.266667
UDP_THREAD, 1125, 8, 10, 30, 652.125000, 1.975000, 1.662500
UDP_THREAD, 1250, 8, 10, 30, 969.750000, 2.275000, 2.058333
UDP_THREAD, 1375, 8, 10, 30, 1300.750000, 2.708333, 2.466667
UDP_THREAD, 1500, 8, 10, 30, 731.125000, 2.675000, 2.383333
UDP_THREAD, 1625, 8, 10, 30, 1098.875000, 3.850000, 3.554167
UDP_THREAD, 1750, 8, 10, 30, 788.750000, 4.054167, 3.695833
UDP_THREAD, 1875, 8, 10, 30, 776.625000, 4.508333, 4.125000
UDP_THREAD, 2000, 8, 10, 30, 792.625000, 4.425000, 4.054167
UDP_THREAD, 2125, 8, 10, 30, 784.625000, 4.212500, 3.962500
UDP_THREAD, 2250, 8, 10, 30, 894.000000, 5.545833, 5.295833
UDP_THREAD, 2375, 8, 10, 30, 2072.125000, 5.770833, 5.412500
UDP_THREAD, 2500, 8, 10, 30, 851.875000, 4.437500, 4.170833
UDP_THREAD, 2625, 8, 10, 30, 924.250000, 4.754167, 4.379167
UDP_THREAD, 2750, 8, 10, 30, 921.375000, 4.591667, 4.350000
UDP_THREAD, 2875, 8, 10, 30, 2255.750000, 5.266667, 5.000000
UDP_THREAD, 3000, 8, 10, 30, 1682.875000, 5.362500, 5.087500
UDP_THREAD, 3125, 8, 10, 30, 974.750000, 5.045833, 4.833333
UDP_THREAD, 3250, 8, 10, 30, 1885.500000, 11.337500, 10.858333
UDP_THREAD, 3375, 8, 10, 30, 1774.250000, 5.058333, 4.862500
UDP_THREAD, 3500, 8, 10, 30, 2384.500000, 6.254167, 5.983333
UDP_THREAD, 3625, 8, 10, 30, 2061.875000, 6.004167, 5.741667
UDP_THREAD, 3750, 8, 10, 30, 1143.625000, 6.541667, 6.258333
UDP_THREAD, 3875, 8, 10, 30, 1213.875000, 10.620833, 10.183333
UDP_THREAD, 4000, 8, 10, 30, 4176.375000, 9.579167, 9.270833
UDP_THREAD, 4125, 8, 10, 30, 1321.250000, 7.116667, 6.887500
UDP_THREAD, 4250, 8, 10, 30, 1397.250000, 12.091667, 11.587500
UDP_THREAD, 4375, 8, 10, 30, 2828.125000, 15.070833, 14.537500
UDP_THREAD, 4500, 8, 10, 30, 1447.375000, 8.800000, 8.537500
UDP_THREAD, 4625, 8, 10, 30, 2381.125000, 10.658333, 10.225000
UDP_THREAD, 4750, 8, 10, 30, 2440.500000, 8.158333, 7.937500
UDP_THREAD, 4875, 8, 10, 30, 1538.375000, 9.204167, 8.904167
UDP_THREAD, 5000, 8, 10, 30, 2632.875000, 16.508333, 16.050000
